date,PM2.5 - Exposição média anual (μg/m³),PM2.5 - População exposta acima do guideline OMS (%),Emissões GHG per capita (t CO2e),Intensidade de carbono do PIB (kg CO2e/PPP$),PIB (US$ correntes),População total,PIB per capita (US$ correntes)
2017,11.8978451129639,89.1743564300489,10.8144546544284,0.151237990569879,3763092263752.95,82657002.0,45526.5999576533
2016,11.7806958987308,89.1546627249363,11.0507954900886,0.158305554839863,3537784107980.55,82348669.0,42961.0356905775
2015,12.8253525089793,95.9525959398708,11.1097778312776,0.161050999445951,3423568450957.03,81686611.0,41911.0109851054
2014,12.2822480920893,95.7252958815951,11.1447572006298,0.162427824272552,3965800686309.79,80982500.0,48971.0824722599
2013,13.6633968189434,97.8463215365016,11.6796804983979,0.174269328963157,3808086291482.36,80645605.0,47220.0102098851
2012,13.9078592571706,98.2950679634862,11.4978866924371,0.171133972498737,3597896500945.31,80425823.0,44735.5882319701
2011,15.7161711583543,99.4480294451265,11.3823904515807,0.169385766544066,3824828563521.41,80274983.0,47646.582043143
2010,16.201690204245,99.599440069301,11.5255781795673,0.181731247750383,3468154343000.01,81776930.0,42409.9356994694
2005,16.5542983749923,99.1848609756882,11.9280343689083,0.199087389837491,2893393187361.87,82469422.0,35084.4363546269
2000,18.149579025919,99.4071861879019,12.5940798945082,0.212159995669051,1966980701145.1,82211508.0,23925.8559901991
1995,20.6578086812947,99.6466063589806,13.6128125780083,0.244715241405055,2593053091306.13,81678051.0,31747.2449398447
1990,22.5262021505598,99.7557906789743,15.5586852919835,0.300972786550749,1778162195860.07,79433029.0,22385.6778250275
